feature,importance
bedrooms,0.13545117402666926
accommodates,0.12357807911351511
cancellation_policy_Index,0.11367470522083833
neighbourhood_cleansed_Index,0.10034164394486333
beds,0.08950501784253484
minimum_nights,0.08563811114462734
bathrooms,0.05432886989278808
property_type_Index,0.0511523979015767
number_of_reviews,0.029773344914145346
latitude,0.028680632732223005
host_total_listings_count,0.024659294875484225
room_type_Index,0.01885619906522404
longitude,0.018508186514127715
review_scores_rating,0.01635114965562594
review_scores_value_na,0.015637238483729114
review_scores_checkin_na,0.012712278005877336
instant_bookable_Index,0.011049664130961732
host_is_superhost_Index,0.009848486840958747
review_scores_communication_na,0.008871434129365164
review_scores_rating_na,0.007644765889087528
review_scores_accuracy,0.0076403424438263035
review_scores_value,0.006222039854005454
review_scores_location_na,0.00577638608779419
review_scores_communication,0.005402510154140338
review_scores_cleanliness_na,0.005019985099892348
review_scores_location,0.0039095454057303915
review_scores_accuracy_na,0.0038259705862458493
review_scores_checkin,0.002892770120708722
review_scores_cleanliness,0.002836917668078147
bed_type_Index,0.00019032553750173323
bedrooms_na,2.0532717853595207e-05
beds_na,0.0
bathrooms_na,0.0
